Parameter,Value
a_scale_mean,0.5830474094428039
a_scale_std,0.051114469196340793
a_scale_hdi_3%,0.49247318390288214
a_scale_hdi_97%,0.6668531386365611
g_factor_mean,2.0127321782717393
g_factor_std,0.023130280501148796
g_factor_hdi_3%,1.9660843750289132
g_factor_hdi_97%,2.047687961444293
B4_mean,-5.545848536220849e-05
B4_std,0.00024555284803257007
B4_hdi_3%,-0.00047666066261047783
B4_hdi_97%,0.00033437809438968615
B6_mean,-1.0726934988790716e-05
B6_std,4.961927327522347e-06
B6_hdi_3%,-1.995589253707194e-05
B6_hdi_97%,-1.356837520188834e-06
log_gamma_mu_mean,25.267225891981923
log_gamma_mu_std,1.5353767264524336
log_gamma_mu_hdi_3%,23.307601342701727
log_gamma_mu_hdi_97%,27.087520043230064
log_gamma_sigma_mean,0.36674085706918885
log_gamma_sigma_std,0.2855348107953152
log_gamma_sigma_hdi_3%,0.019667491090130402
log_gamma_sigma_hdi_97%,1.0437906079383736
log_gamma_offset_0_mean,-0.1401857149045941
log_gamma_offset_0_std,0.4865176994231108
log_gamma_offset_0_hdi_3%,-1.1485512608894162
log_gamma_offset_0_hdi_97%,0.8077162188912731
log_gamma_offset_1_mean,0.0016479671707394204
log_gamma_offset_1_std,0.5126443976819594
log_gamma_offset_1_hdi_3%,-0.9243283579327141
log_gamma_offset_1_hdi_97%,0.9177133320594061
log_gamma_offset_2_mean,0.00035212455413232747
log_gamma_offset_2_std,0.5065378844028384
log_gamma_offset_2_hdi_3%,-0.98942852645477
log_gamma_offset_2_hdi_97%,0.9080920823219445
log_gamma_offset_3_mean,-0.007897880522807132
log_gamma_offset_3_std,0.4978881725636934
log_gamma_offset_3_hdi_3%,-0.9335628484720417
log_gamma_offset_3_hdi_97%,0.8880861936477181
log_gamma_offset_4_mean,0.0008146523827210723
log_gamma_offset_4_std,0.5132771250698761
log_gamma_offset_4_hdi_3%,-0.9613677097303005
log_gamma_offset_4_hdi_97%,0.9451183378322979
log_gamma_offset_5_mean,-0.010918104121936612
log_gamma_offset_5_std,0.5102364200380212
log_gamma_offset_5_hdi_3%,-0.9707541474853275
log_gamma_offset_5_hdi_97%,0.9227595467292576
log_gamma_offset_6_mean,-0.010201017803449876
log_gamma_offset_6_std,0.5070079320782259
log_gamma_offset_6_hdi_3%,-0.9468158706340916
log_gamma_offset_6_hdi_97%,0.9038119894570256
G0_mean,23464192371.034607
observation_noise_sigma_mean,0.12495807832409629
observation_noise_sigma_std,0.007815597384150415
