eps_bg,d,temperature,b_field
14.755618386515474,0.0001578,4.0,4.2
14.79805613885452,0.0001578,4.0,4.5
14.796030118045588,0.0001578,4.0,4.7
14.719825114764182,0.0001578,4.0,5.0
14.833085594435724,0.0001578,4.0,5.2
14.729897920131654,0.0001578,4.0,5.5
14.75188072127758,0.0001578,4.0,5.7
14.778596178007277,0.0001578,4.0,6.0
14.784251108696463,0.0001578,4.0,6.2
14.80561266145168,0.0001578,4.0,6.5
14.795918627370828,0.0001578,4.0,6.7
14.856132510510202,0.0001578,4.0,7.0
14.8145282480105,0.0001578,4.0,7.2
14.840437973241736,0.0001578,4.0,7.5
14.867570065472565,0.0001578,4.0,7.7
14.888831797286867,0.0001578,4.0,8.0
14.881685306335424,0.0001578,4.0,8.2
14.814323240853978,0.0001578,4.0,8.5
14.853116218402407,0.0001578,4.0,8.7
14.885426548289455,0.0001578,4.0,9.0
14.878749347513546,0.0001578,10.0,9.0
14.865808269248898,0.0001578,20.0,9.0
14.653684486451944,0.0001578,30.0,9.0
14.643219318057133,0.0001578,40.0,9.0
14.538352778131772,0.0001578,50.0,9.0
14.604251493467004,0.0001578,60.0,9.0
14.552186923940482,0.0001578,70.0,9.0
14.515620293663638,0.0001578,80.0,9.0
14.486880628457566,0.0001578,90.0,9.0
14.463670064587184,0.0001578,100.0,9.0
14.63655221749073,0.0001578,110.0,9.0
14.637375610858742,0.0001578,120.0,9.0
14.658672121126957,0.0001578,130.0,9.0
14.700642847584476,0.0001578,140.0,9.0
14.747586756397146,0.0001578,150.0,9.0
14.791022040400918,0.0001578,170.0,9.0
14.83014305945785,0.0001578,190.0,9.0
14.90706239867245,0.0001578,210.0,9.0
15.035575945797593,0.0001578,230.0,9.0
15.109353925070556,0.0001578,250.0,9.0
15.22487267670315,0.0001578,270.0,9.0
15.352073566406494,0.0001578,300.0,9.0
